epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,2.3462165390049017,0.0990990990990991,2.297076416015625,0.1,0.0005,6.1967597007751465
2,2.1988648229891115,0.1981981981981982,2.3496210098266603,0.1,0.0005,4.9926042556762695
3,2.1105553738705747,0.27927927927927926,2.332214593887329,0.15,0.0005,5.195891857147217
4,1.9462626324043617,0.38738738738738737,2.3425801753997804,0.15,0.0005,5.016627073287964
5,1.9436019390552968,0.34234234234234234,2.4808960914611817,0.15,0.0005,6.382045269012451
6,1.8594954701157305,0.38738738738738737,2.5518321990966797,0.05,0.0005,5.657473802566528
7,1.8096940495946385,0.44144144144144143,2.5238319873809814,0.1,0.0005,6.108508348464966
8,1.7869434592960116,0.44144144144144143,2.558999252319336,0.1,0.0005,5.071361064910889
9,1.7589813116434458,0.4144144144144144,2.6649328231811524,0.15,0.0005,4.947203159332275
10,1.7427668839961559,0.44144144144144143,2.6296568155288695,0.2,0.0005,6.37897253036499
11,1.747579955839896,0.43243243243243246,2.7687965393066407,0.0,0.0005,6.182718992233276
12,1.846803509437286,0.36936936936936937,2.6604923725128176,0.1,0.0005,5.785277843475342
13,1.8317633179930952,0.40540540540540543,2.662093162536621,0.05,0.0005,5.49385666847229
14,1.7396853668195706,0.42342342342342343,2.652457094192505,0.1,0.0005,5.0806005001068115
15,1.764443066743043,0.3783783783783784,2.573424768447876,0.15,0.0005,5.086839914321899
16,1.8160221770003036,0.38738738738738737,2.685545539855957,0.1,0.0005,5.277369022369385
17,1.8164012679108628,0.36936936936936937,2.5929335832595823,0.15,0.0005,5.9836647510528564
18,1.6849093200924161,0.40540540540540543,2.619387674331665,0.1,0.0005,5.490252494812012
19,1.7879331273001593,0.45045045045045046,2.6297038555145265,0.15,0.0005,4.939450979232788
20,1.6734657040587417,0.4594594594594595,2.4717750787734984,0.0,0.0005,5.095488786697388
21,1.6865599133946874,0.46846846846846846,2.644348621368408,0.2,0.0005,5.15838098526001
22,1.6440490956779,0.5045045045045045,2.684735107421875,0.05,0.0005,5.193176031112671
23,1.6566023225182887,0.45045045045045046,2.737796974182129,0.2,0.0005,5.041946887969971
24,1.6892896826202806,0.3963963963963964,2.733645272254944,0.1,0.0005,5.02355432510376
25,1.7045022925815068,0.43243243243243246,2.6542742252349854,0.15,0.0005,5.06025767326355
26,1.8818858185329952,0.32432432432432434,2.5678876876831054,0.1,0.0005,5.790494680404663
27,1.757782573098535,0.43243243243243246,2.6006638526916506,0.15,0.0005,5.166729927062988
28,1.6361188952987258,0.5225225225225225,2.6080440521240233,0.2,0.0005,4.9736104011535645
29,1.6119042785318047,0.4954954954954955,2.654738998413086,0.1,0.0005,5.119009733200073
30,1.6781405006443058,0.3783783783783784,2.510121059417725,0.15,0.0005,5.2910168170928955
31,1.6746417466584627,0.4594594594594595,2.6133590221405028,0.05,0.0005,5.020035982131958
32,1.5493434356139586,0.5315315315315315,2.6215686559677125,0.25,0.0005,5.192339181900024
33,1.6300687446250572,0.4774774774774775,2.5501296520233154,0.15,0.0005,5.086763143539429
34,1.5859635842813027,0.4954954954954955,2.6157321691513062,0.1,0.0005,5.016742944717407
35,1.555888905181541,0.4954954954954955,2.6533568859100343,0.2,0.0005,5.523751974105835
36,1.664264347102191,0.44144144144144143,2.478285026550293,0.15,0.0005,5.522425413131714
37,1.5948916705879006,0.5045045045045045,2.494071626663208,0.25,0.0005,5.275128364562988
38,1.5430517926946417,0.5495495495495496,2.6893404006958006,0.15,0.0005,5.0257837772369385
39,1.5892218115093473,0.5225225225225225,2.6160851955413817,0.25,0.0005,5.115934133529663
40,1.5653502941131592,0.5855855855855856,2.517941474914551,0.2,0.0005,5.0884199142456055
41,1.6593467512646236,0.4144144144144144,2.7091840744018554,0.15,0.0005,5.203049421310425
42,1.6653175676191174,0.45045045045045046,2.6410058975219726,0.1,0.0005,4.890399932861328
43,1.612659341580159,0.46846846846846846,2.536930871009827,0.1,0.0005,4.953747749328613
44,1.557244096790348,0.5135135135135135,2.8498877048492433,0.1,0.0005,5.131410598754883
45,1.562757279421832,0.44144144144144143,2.765008497238159,0.1,0.0005,4.977923393249512
46,1.656557180860021,0.44144144144144143,2.7407363414764405,0.15,0.0005,5.221286773681641
47,1.5538151285669826,0.4774774774774775,2.721838092803955,0.05,0.0005,5.0502917766571045
48,1.5095378203434988,0.5225225225225225,2.737883377075195,0.15,0.0005,4.999423027038574
49,1.718175685083544,0.42342342342342343,2.7450865745544433,0.2,0.0005,5.1423585414886475
50,1.5495808446729504,0.5225225225225225,2.759654998779297,0.15,0.00025,4.973849534988403
51,1.566996772010047,0.5405405405405406,2.769461154937744,0.15,0.00025,4.980785608291626
52,1.4808164523528502,0.5585585585585585,2.9015250205993652,0.15,0.00025,4.92598557472229
53,1.3893789933608458,0.5765765765765766,2.7705318689346314,0.15,0.00025,4.9113123416900635
54,1.3618148576031934,0.5495495495495496,2.7606097221374513,0.15,0.00025,5.481186389923096
55,1.3672986223890975,0.5855855855855856,2.841475224494934,0.1,0.00025,4.916392803192139
56,1.3201228820525848,0.6036036036036037,2.7756196022033692,0.15,0.00025,5.047618627548218
57,1.3328436097583256,0.5945945945945946,2.9540420532226563,0.05,0.00025,5.219642877578735
58,1.3765220019194457,0.5495495495495496,2.72740638256073,0.25,0.00025,4.939858436584473
59,1.2730869516596064,0.6486486486486487,2.7791956186294557,0.15,0.00025,5.295841455459595
60,1.2444422631650358,0.6936936936936937,2.807835912704468,0.2,0.00025,5.057536840438843
61,1.2676392664780487,0.6036036036036037,2.904145908355713,0.2,0.00025,5.156646251678467
62,1.3842818887384087,0.6126126126126126,2.9222358226776124,0.2,0.00025,4.952564239501953
63,1.2496565236701622,0.6666666666666666,2.7802766799926757,0.2,0.00025,5.0563271045684814
64,1.248725888965366,0.6216216216216216,2.7850635290145873,0.2,0.00025,5.068985223770142
65,1.3217686790603775,0.6036036036036037,2.812962532043457,0.2,0.00025,5.09175443649292
66,1.4084550582610809,0.5765765765765766,2.875456762313843,0.15,0.00025,5.132564306259155
67,1.2088345987302762,0.6576576576576577,2.7134591579437255,0.15,0.00025,5.043671369552612
68,1.3580050586580157,0.5945945945945946,2.7058190584182737,0.2,0.00025,4.93653416633606
69,1.3146138577847868,0.5585585585585585,2.854669761657715,0.2,0.00025,5.029507398605347
70,1.2466769583590396,0.6486486486486487,2.730206775665283,0.25,0.00025,4.97848653793335
71,1.2940135796864827,0.6216216216216216,2.698940944671631,0.2,0.00025,4.870221853256226
72,1.259214778204222,0.6216216216216216,2.788766956329346,0.2,0.00025,4.8928046226501465
73,1.2756983363950574,0.6666666666666666,2.8311705589294434,0.25,0.00025,4.903598070144653
74,1.3648112711605724,0.5675675675675675,2.7935457468032836,0.25,0.00025,5.142088413238525
75,1.208687035887091,0.6666666666666666,2.685796356201172,0.2,0.00025,5.016879558563232
76,1.2238940473075386,0.6486486486486487,2.7779042720794678,0.15,0.00025,5.078245401382446
77,1.3050467559883185,0.6216216216216216,2.923564839363098,0.3,0.00025,5.110361099243164
78,1.2190505480981089,0.6666666666666666,2.9191946506500246,0.25,0.00025,4.837133169174194
79,1.299505190806346,0.6486486486486487,2.795063543319702,0.25,0.00025,4.93004846572876
80,1.2015204644417978,0.6756756756756757,2.868136692047119,0.3,0.00025,4.9662041664123535
81,1.3114922390327797,0.6036036036036037,3.092730665206909,0.15,0.00025,4.9655210971832275
82,1.2180041300283897,0.7297297297297297,3.0001219749450683,0.25,0.00025,4.96834135055542
83,1.1858022964752473,0.6576576576576577,2.943620300292969,0.1,0.00025,4.896436929702759
84,1.207163523983311,0.6846846846846847,2.8716075897216795,0.25,0.00025,4.947864294052124
85,1.2140887299099483,0.6846846846846847,2.898400402069092,0.2,0.00025,4.916398763656616
86,1.1286499725805748,0.7027027027027027,2.835992527008057,0.2,0.00025,4.920002698898315
87,1.306672495764655,0.5945945945945946,2.846343517303467,0.2,0.00025,4.90386962890625
88,1.2191069276483208,0.6216216216216216,2.7717469215393065,0.15,0.00025,4.98079776763916
89,1.1573597085368525,0.6756756756756757,2.9243063926696777,0.2,0.00025,5.092781066894531
90,1.195797693622005,0.6756756756756757,2.9742350578308105,0.2,0.00025,4.987223148345947
91,1.2111034393310547,0.6576576576576577,2.9425774097442625,0.15,0.00025,4.978909254074097
92,1.2445119211265632,0.6666666666666666,2.9147628784179687,0.05,0.00025,5.238052606582642
93,1.217851802035495,0.6936936936936937,2.8537940979003906,0.25,0.00025,4.930429697036743
94,1.1999058895282917,0.6216216216216216,2.6809943675994874,0.3,0.00025,5.030427694320679
95,1.1211756027496613,0.7117117117117117,2.8158257007598877,0.3,0.00025,5.060932874679565
96,1.1521423217412587,0.7297297297297297,2.9473001956939697,0.2,0.00025,5.1371541023254395
97,1.2749225008595098,0.6396396396396397,2.870490384101868,0.3,0.00025,4.927027702331543
98,1.1216003969982937,0.6846846846846847,2.8909052848815917,0.2,0.00025,5.093266010284424
99,1.081710433100795,0.7297297297297297,2.806444025039673,0.3,0.00025,4.951814651489258
100,1.2484003692059904,0.6486486486486487,2.954830265045166,0.2,0.000125,4.904452562332153
101,1.1313002002131831,0.6936936936936937,2.8597526788711547,0.25,0.000125,4.913498401641846
