epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,2.2838077802915833,0.16216216216216217,2.252912092208862,0.25,0.0005,5.957683086395264
2,2.0579265624553233,0.3063063063063063,2.242353105545044,0.15,0.0005,6.016266345977783
3,1.8889718721578788,0.4594594594594595,2.2356871604919433,0.15,0.0005,5.709909915924072
4,1.6840145974545866,0.5495495495495496,2.1358267068862915,0.25,0.0005,5.868878126144409
5,1.5139941374460857,0.6126126126126126,2.4705151557922362,0.2,0.0005,5.615045785903931
6,1.4749338347632606,0.6576576576576577,2.2156672716140746,0.25,0.0005,6.169498443603516
7,1.407666472701339,0.6306306306306306,2.439876580238342,0.25,0.0005,5.885880708694458
8,1.34110287610475,0.6666666666666666,2.1309976100921633,0.35,0.0005,5.758645534515381
9,1.2070959398338386,0.7027027027027027,2.2125997066497805,0.3,0.0005,5.731603622436523
10,1.2254699994851876,0.7567567567567568,2.301499271392822,0.35,0.0005,5.982987642288208
11,1.1384212498192314,0.7387387387387387,2.2062650680541993,0.4,0.0005,5.876793146133423
12,1.1243148741421398,0.7747747747747747,2.3371510028839113,0.25,0.0005,5.570629596710205
13,1.2288577878797375,0.6846846846846847,2.6694718837738036,0.3,0.0005,6.085357666015625
14,1.1411034470205907,0.7567567567567568,2.523864912986755,0.2,0.0005,5.870540380477905
15,1.0963985125223796,0.7657657657657657,2.550504279136658,0.3,0.0005,5.777245044708252
16,1.1243080598813993,0.7657657657657657,2.7006969928741453,0.1,0.0005,5.680229425430298
17,1.0640257000923157,0.7567567567567568,2.3341752529144286,0.35,0.0005,5.881855487823486
18,0.9571076180483844,0.8558558558558559,2.4844511985778808,0.35,0.0005,5.584402084350586
19,1.0595908744915112,0.7477477477477478,2.306713914871216,0.35,0.0005,6.076478004455566
20,0.9503865440686544,0.8828828828828829,2.582436275482178,0.3,0.0005,5.972159147262573
21,1.1491451574875429,0.7117117117117117,2.317039728164673,0.45,0.0005,5.583460092544556
22,1.0027816037873964,0.8198198198198198,2.4334235191345215,0.25,0.0005,5.481687545776367
23,0.9447552588608887,0.8198198198198198,2.633894348144531,0.25,0.0005,5.47165584564209
24,1.0504855529682056,0.7747747747747747,2.607424592971802,0.35,0.0005,6.082526206970215
25,0.8347534295674917,0.9009009009009009,2.9737523078918455,0.1,0.0005,5.775984525680542
26,0.9514414968791308,0.8468468468468469,2.5375155210494995,0.25,0.0005,5.773797988891602
27,1.0507390536703505,0.7567567567567568,2.5899407863616943,0.2,0.0005,5.8943092823028564
