epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,2.345490547987792,0.09009009009009009,2.307468032836914,0.15,5e-05,6.942418813705444
2,2.313824017842611,0.07207207207207207,2.3103997707366943,0.05,5e-05,6.349355459213257
3,2.286789455929318,0.11711711711711711,2.301794099807739,0.05,5e-05,6.28696870803833
4,2.2976695524679647,0.11711711711711711,2.3000563621520995,0.15,5e-05,6.442566633224487
5,2.2530533365301184,0.10810810810810811,2.3018379688262938,0.05,5e-05,6.3528337478637695
6,2.2433958010630564,0.1891891891891892,2.2998901844024657,0.05,5e-05,6.4869184494018555
7,2.2339354076900997,0.1891891891891892,2.3084394931793213,0.1,5e-05,6.358165264129639
8,2.2546966398084485,0.21621621621621623,2.307649612426758,0.05,5e-05,6.387380361557007
9,2.2177060015566714,0.18018018018018017,2.3047582149505614,0.15,5e-05,6.390566110610962
10,2.1935268823090976,0.21621621621621623,2.3052308559417725,0.1,5e-05,6.496164083480835
11,2.182586141534754,0.1891891891891892,2.3142213344573976,0.1,5e-05,6.391550779342651
12,2.123416249816482,0.35135135135135137,2.3157959938049317,0.15,5e-05,6.489416122436523
13,2.1350406633841024,0.2882882882882883,2.3137393951416017,0.15,5e-05,6.264904260635376
14,2.1466205893336117,0.3063063063063063,2.3163694381713866,0.15,5e-05,6.417018175125122
15,2.1229037841161094,0.25225225225225223,2.309271812438965,0.2,5e-05,6.397105693817139
16,2.096442222595215,0.3063063063063063,2.322821617126465,0.1,5e-05,6.488466501235962
17,2.0918402177793487,0.2882882882882883,2.3274059772491453,0.15,5e-05,6.4913671016693115
18,2.095207607423937,0.32432432432432434,2.3207025051116945,0.15,5e-05,6.39689826965332
19,2.0922955500112996,0.35135135135135137,2.3198219776153564,0.1,5e-05,6.293447971343994
20,2.074458238240835,0.34234234234234234,2.3138757705688477,0.1,5e-05,6.39696192741394
21,2.0631271504067086,0.2972972972972973,2.2985819816589355,0.15,5e-05,6.485324144363403
22,2.0459855182750806,0.35135135135135137,2.283304452896118,0.1,5e-05,6.146676778793335
23,2.029700896761439,0.43243243243243246,2.2745133876800536,0.2,5e-05,6.404161691665649
24,2.012607086886157,0.36036036036036034,2.3012964725494385,0.25,5e-05,6.349309921264648
25,1.9872113971022871,0.35135135135135137,2.3110399723052977,0.15,5e-05,6.384615421295166
26,2.0407249326104515,0.2972972972972973,2.3029967308044434,0.15,5e-05,6.485351800918579
27,1.9762070017891962,0.3783783783783784,2.2867464065551757,0.15,5e-05,6.491575241088867
28,1.949505447267412,0.44144144144144143,2.2919907093048097,0.15,5e-05,6.4890828132629395
29,1.962283009881372,0.36936936936936937,2.292762041091919,0.15,5e-05,6.4704930782318115
